scenario	subject	issue	commit	idx	status	final	first crash	time to find first crash
BIC	php-src	17463	7904a08	250903-1739	none	N	 |	
FIX	mujs	65	833f82c	250906-0154	none	N	 |	
FIX	mujs	65	833f82c	250906-0156	bug_SEGV^	B	id:000000,time:0,execs:0,orig:TRIGGER_#65_833f82c_1_gpt-4o-2024-08-06_bug_SEGV^	0.0
FIX	mujs	65	833f82c	250906-0157	bug_SEGV^	B	id:000000,sig:11,src:000004,time:890139,execs:236296,op:havoc,rep:2	890139.0
FIX	mujs	65	833f82c	250906-0158	bug_SEGV^	B	id:000000,sig:11,src:001775+004024,time:20694956,execs:5468898,op:splice,rep:1	20694956.0
FIX	mujs	65	833f82c	250906-0200	none	N	 |	
FIX	mujs	65	833f82c	250906-0201	none	N	 |	
FIX	mujs	65	833f82c	250906-0203	bug_SEGV^	B	id:000000,time:0,execs:0,orig:TRIGGER_#65_833f82c_1_gpt-4o-2024-08-06_bug_SEGV^	0.0
FIX	mujs	65	833f82c	250906-0204	bug_SEGV^	B	id:000000,sig:11,src:005646+000002,time:65925463,execs:16080248,op:splice,rep:1	65925463.0
FIX	mujs	65	833f82c	250906-0205	bug_SEGV^	B	id:000000,sig:11,src:001223+000446,time:1244220,execs:333080,op:splice,rep:2	1244220.0
FIX	mujs	65	833f82c	250906-0207	bug_SEGV^	B	id:000000,time:0,execs:0,orig:TRIGGER_#65_833f82c_1_gpt-4o-2024-08-06_bug_SEGV^	0.0
FIX	mujs	141	6871e5b	250906-0154	bug_heap-buffer-overflow^	B	id:000000,time:0,execs:0,orig:TRIGGER_#141_6871e5b_5_gpt-4o-2024-08-06_bug_heap-buffer-overflow^	0.0
FIX	mujs	141	6871e5b	250906-0156	bug_heap-buffer-overflow^	B	id:000000,sig:06,src:000001,time:6357,execs:1538,op:arith8,pos:15,val:-18	6357.0
FIX	mujs	141	6871e5b	250906-0157	bug_heap-buffer-overflow^	B	id:000000,sig:06,src:003522,time:19785436,execs:4783884,op:havoc,rep:2	19785436.0
FIX	mujs	141	6871e5b	250906-0158	bug_heap-buffer-overflow^	B	id:000000,sig:06,src:002295,time:10092746,execs:2440514,op:havoc,rep:1	10092746.0
